projekt_data_umowa;projekt_cena_umowa;projekt_data_rozpoczecia;projekt_data_zakonczenia;projekt_tryb;projekt_rynek;projekt_metraz;projekt_budzet_planowany;projekt_budzet_zrealizowany;stylistyka_id;inwestycja_id;adres_id;pakiet_id
2019-07-21;3000,00;2019-07-22;2019-08-10;stacjonarny;wtórny;43,50;25000;23000;7;;68;2
2019-08-02;5000,00;2019-08-03;2019-09-09;stacjonarny;wtórny;38,70;20000;22500;7;;69;3
2019-08-03;5000,00;2019-08-20;2019-09-17;stacjonarny;wtórny;46,50;25000;26000;8;;70;3
2019-09-13;6000,00;2019-09-15;2019-10-20;zdalny;pierwotny;68,20;40000;37500;1;1;71;3
2019-09-20;5500,00;2019-10-01;2019-11-10;stacjonarny;pierwotny;62,60;35000;29000;7;2;72;3
2019-10-05;4000,00;2019-10-15;2019-11-04;zdalny;pierwotny;36,80;20000;22000;2;3;73;2
2019-10-10;5000,00;2019-11-19;2019-12-22;Warszawa;wtórny;53,50;30000;25000;7;;74;3
2019-11-15;5000,00;2019-12-01;2020-01-23;stacjonarny;pierwotny;51,20;40000;35000;7;4;75;3
2020-09-03;6000,00;2020-10-04;2020-12-10;stacjonarny;pierwotny;66,50;40000;42000;8;5;76;3
2020-10-16;8000,00;2020-10-17;2020-12-22;stacjonarny;pierwotny;74,60;100000;95500;2;5;77;5
2020-11-03;5000,00;2020-11-22;2020-12-16;stacjonarny;pierwotny;61,50;45000;40000;7;5;78;3
2020-10-29;3000,00;2010-11-04;2020-12-05;zdalny;wtórny;48,60;25000;28000;2;;79;1
2020-11-08;5500,00;2020-11-09;2020-12-07;zdalny;pierwotny;56,70;30000;28000;2;6;80;3
2020-12-01;9000,00;2020-12-05;2021-04-04;stacjonarny;wtórny;38,60;25000;26000;2;;81;6
2020-07-01;12000,00;2020-08-01;2021-01-06;stacjonarny;pierwotny;103,30;120000;125000;4;;82;5
2020-11-08;5000,00;2020-12-10;2021-02-05;stacjonarny;wtórny;65,80;30000;28000;2;;83;3
2021-01-02;5000,00;2021-01-10;2021-03-31;stacjonarny;pierwotny;67,50;35000;35000;7;7;84;3
2021-01-15;5500,00;2021-01-29;2021-02-28;stacjonarny;wtórny;48,40;45000;43000;7;;85;3
2021-01-03;8000,00;2021-01-15;2021-04-03;stacjonarny;wtórny;53,70;45000;48000;2;;86;5
2021-01-22;5000,00;2021-01-25;2021-02-19;stacjonarny;pierwotny;48,50;30000;32000;7;7;87;3
2020-12-10;7000,00;2021-02-03;2021-05-05;zdalny;pierwotny;95,60;100000;97000;5;8;88;3
2021-02-02;5000,00;2021-03-05;2021-04-14;stacjonarny;wtórny;43,50;25000;27000;2;;89;3
2021-03-05;6000,00;2021-03-06;2021-04-21;zdalny;pierwotny;57,90;35000;43000;6;9;90;3
2021-03-10;5500,00;2021-03-15;2021-05-08;stacjonarny;pierwotny;47,50;35000;35000;7;10;91;3
2021-03-20;5000,00;2021-04-05;2021-05-20;zdalny;pierwotny;36,70;20000;18000;8;11;92;3
2021-01-05;15000,00;2021-02-03;2021-06-10;stacjonarny;wtórny;60,50;40000;40000;3;;93;6
2021-03-02;7000,00;2021-04-06;2021-05-15;stacjonarny;pierwotny;65,70;40000;35000;7;12;94;3
2021-02-28;3000,00;2021-03-15;2021-04-28;zdalny;wtórny;10,70;10000;12000;3;;95;7
2021-03-04;15000,00;2021-05-12;2021-09-03;zdalny;pierwotny;127,60;150000;135000;2;;96;5
2021-03-13;6000,00;2021-06-10;2021-07-20;stacjonarny;pierwotny;47,90;40000;35000;8;13;97;3
2021-04-20;6000,00;2021-05-17;2021-06-23;stacjonarny;wtórny;50,30;45000;47000;7;;98;3
2021-04-18;4000,00;2021-05-20;2021-07-01;zdalny;wtórny;43,60;30000;25000;2;;99;2
2021-04-01;3500,00;2021-04-19;2021-05-21;zdalny;wtórny;42,20;25000;27000;7;;100;2
2021-05-12;6000,00;2021-05-20;2021-07-03;zdalny;pierwotny;75,90;40000;420000;2;3;101;3
2021-05-12;4000,00;2021-05-31;2021-08-18;zdalny;pierwotny;65,40;40000;38000;2;3;102;2
2021-05-21;3500,00;2021-06-04;2021-07-21;stacjonarny;wtórny;56,70;45000;48000;8;;103;2
2021-06-01;12000,00;2021-06-05;2021-09-10;zdalny;pierwotny;85,70;60000;56000;6;3;104;6
2021-07-07;5000,00;2021-07-10;2021-09-01;stacjonarny;wtórny;43,80;30000;28000;8;;105;3
2021-08-14;3000,00;2021-08-20;2021-09-18;stacjonarny;pierwotny;65,40;30000;32000;6;5;106;2
2021-08-14;5000,00;2021-09-02;2021-10-01;stacjonarny;wtórny;50,80;30000;32000;8;;107;3
2021-08-01;10000,00;2021-10-02;2021-12-21;zdalny;pierwotny;150,00;200000;180000;7;;108;3
2021-09-03;6000,00;2021-10-05;2021-11-12;stacjonarny;wtórny;60,70;30000;32000;2;;109;3
2021-10-16;3000,00;2021-10-20;2021-11-15;zdalny;pierwotny;25,00;20000;21000;8;14;110;7
2021-09-08;7000,00;2021-10-22;2021-12-20;stacjonarny;wtórny;46,80;25000;28000;7;;111;3
2021-01-07;3000,00;2022-01-25;2022-02-18;stacjonarny;wtórny;22,50;15000;18000;7;;112;2
2022-01-15;3000,00;2022-01-20;2022-02-17;stacjonarny;pierwotny;38,50;20000;21000;2;15;113;3
2022-01-15;3000,00;2022-02-15;2022-02-28;stacjonarny;pierwotny;38,50;20000;21000;3;15;114;3
2022-01-15;3000,00;2022-03-01;2022-03-18;stacjonarny;pierwotny;38,50;20000;25000;7;15;115;3
2022-01-15;3000,00;2022-03-20;2022-04-10;stacjonarny;pierwotny;38,50;20000;25000;6;15;116;3
2022-01-15;3000,00;2022-03-24;2022-04-20;stacjonarny;pierwotny;63,40;35000;38000;2;15;117;3
2022-01-15;3000,00;2022-03-31;2022-04-25;stacjonarny;pierwotny;63,40;35000;38000;2;15;118;3
2022-01-15;3000,00;2022-04-02;2022-05-10;stacjonarny;pierwotny;63,40;35000;38000;6;15;119;3
2022-01-15;3000,00;2022-04-10;2022-05-20;stacjonarny;pierwotny;63,40;35000;38000;2;15;120;3
2022-04-17;7000,00;2022-05-17;2022-06-31;stacjonarny;wtórny;43,80;25000;27000;6;;121;3
2022-03-02;7000,00;2022-03-12;2022-05-19;stacjonarny;pierwotny;41,70;30000;28000;3;7;122;3
2022-04-06;3500,00;2022-04-08;2022-04-20;zdalny;pierwotny;54,60;35000;40000;2;9;123;2
2022-03-05;6000,00;2022-04-15;2022-05-20;stacjonarny;pierwotny;64,80;40000;38000;6;16;124;3
2021-01-18;18000,00;2022-04-20;2022-09-10;zdalny;pierwotny;148,50;120000;130000;7;;125;6
2022-05-04;4000,00;2022-05-10;2022-07-01;stacjonarny;wtórny;38,90;25000;27000;3;;126;2
2022-05-18;3000,00;2021-06-19;2022-08-09;stacjonarny;wtórny;34,00;25000;28000;2;;127;7
2022-06-20;5000,00;2022-06-25;2022-09-03;zdalny;wtórny;45,80;30000;32000;6;;128;3
2022-07-10;5000,00;2022-08-18;2022-09-12;zdalny;pierwotny;54,50;40000;35000;2;14;129;3
2022-04-04;3000,00;2022-05-10;2022-06-15;zdalny;pierwotny;27,50;25000;26000;6;;130;3
2022-04-04;5000,00;2022-06-10;2022-07-01;zdalny;pierwotny;49,00;40000;38000;7;;131;3
2022-04-04;5000,00;2022-06-17;2022-07-15;zdalny;pierwotny;52,50;40000;43000;8;;132;3
2022-05-10;15000,00;2022-09-01;2022-12-18;stacjonarny;pierwotny;96,80;60000;58000;6;17;133;6
2022-06-12;7000,00;2022-09-10;2022-10-19;zdalny;pierwotny;43,00;35000;37000;8;18;134;3
2022-06-12;8000,00;2022-10-10;2022-10-31;zdalny;pierwotny;67,00;50000;46000;4;18;135;3
2022-07-05;15000,00;2022-07-10;2022-10-10;stacjonarny;pierwotny;69,50;50000;46000;2;2;136;6
2022-08-12;7000,00;2022-09-20;2022-12-15;stacjonarny;wtórny;54,70;40000;36000;7;;137;3
2022-06-10;5000,00;2022-09-01;2022-10-15;stacjonarny;wtórny;28,00;20000;21000;8;;138;3
2022-09-12;4000,00;2022-09-20;2022-10-31;zdalny;pierwotny;15,00;15000;16000;6;;139;7
2022-11-18;5000,00;2022-11-20;2022-12-22;zdalny;pierwotny;13,70;15000;15000;7;;140;7
2022-11-20;7000,00;2022-11-25;2022-12-18;stacjonarny;pierwotny;46,80;40000;41000;7;2;141;3
2022-09-16;4000,00;2022-11-04;2022-12-10;zdalny;pierwotny;48,60;35000;37000;7;14;142;2
2022-12-15;7000,00;2022-12-16;2023-01-28;stacjonarny;wtórny;52,60;40000;42000;7;;143;3
2023-01-04;9000,00;2023-01-10;2023-02-15;stacjonarny;pierwotny;87,50;80000;82000;5;19;144;3
2023-02-10;5000,00;2023-02-15;2023-03-28;zdalny;pierwotny;64,90;40000;41000;4;14;145;2
2023-01-05;12000,00;2023-02-10;2023-05-14;stacjonarny;pierwotny;105,80;40000;43000;6;;146;6
2023-01-12;5000,00;2023-01-20;2023-02-15;zdalny;wtórny;38,60;35000;32000;2;;147;3
2023-02-20;7000,00;2023-04-03;2023-05-20;stacjonarny;pierwotny;54,70;40000;41000;5;2;148;3
2023-03-01;18000,00;2023-03-20;2023-07-30;zdalny;pierwotny;110,70;200000;250000;2;;149;6
2023-04-12;7000,00;2023-04-15;2023-06-01;stacjonarny;pierwotny;47,40;35000;32000;7;4;150;3
2023-05-10;7000,00;2023-05-20;2023-07-15;stacjonarny;wtórny;63,80;40000;41000;7;;151;3
